Country,Priority,Satisfaction,Status,Amount,Comment
USA,Low,Good,Open,"1,000",Great service
U.S.A.,medium,Excellent,Closed,"£2,500",CafÃ© visit was lovely
usa,HIGH,Fair,open,3.2m,Needs follow-up!!!
United States,High,Poor,Pending,"4,000",CafÃ© staff were rude
Canada,low,Good,Closed,5000,Fine
canada,Medium,Excellent,Open,"6,000",  spaced out comment
CANADA,High,Good,Closed,soon,ok
United Kingdom,Low,Fair,Pending,"7,500",n/a
uk,medium,Good,Open,"8,000",Good
U.K.,High,Excellent,Closed,9000,Excellent!
USA,Low,Good,Open,"1,000",Great service
,,,,,
Canada,Medium,Poor,Open,"2,200",meh
